 𠹃 ANG40001320e43 13ANG400020e43
 𣉗 ANG40001423257 14ANG400023257
 𣖮 ANG400014235ae 14ANG4000235ae
 𩜟 ANG4000162971f 16ANG40002971f
 醠 ANG400017091a0 17ANG4000091a0
 凹 AO1000005051f9 05AO10000051f9
 垇 AO100000805787 08AO1000005787
 坳 AO100000805773 08AO1000005773
 柪 AO1000009067ea 09AO10000067ea
 梎 AO10000110688e 11AO100000688e
 軪 AO100001208eea 12AO1000008eea
 𧨲 AO100001527a32 15AO1000027a32
 𤏶 AO1000017243f6 17AO10000243f6
 䫜 AO100001804adc 18AO1000004adc
 爊 AO10000190720a 19AO100000720a
 𩥊 AO10000202994a 20AO100002994a
 𪃨 AO10000202a0e8 20AO100002a0e8
 𧅃 AO100002327143 23AO1000027143
 𡊛 AO20000082129b 08AO200002129b
 㿰 AO200001103ff0 11AO2000003ff0
 敖 AO200001106556 11AO2000006556
 𣷫 AO200001123deb 11AO2000023deb
 獓 AO200001207353 12AO2000007353
 厫 AO2000013053ab 13AO20000053ab
 骜 AO200001309a9c 13AO2000009a9c
 嗸 AO2000014055f8 14AO20000055f8
 獒 AO200001407352 14AO2000007352
 㠂 AO200001403802 14AO2000003802
 嶅 AO200001405d85 14AO2000005d85
 嗷 AO2000014055f7 14AO20000055f7
 𡏼 AO2000014213fc 14AO20000213fc
 滶 AO200001406ef6 14AO2000006ef6
 廒 AO200001405ed2 14AO2000005ed2
 隞 AO20000140969e 14AO200000969e
 㟼 AO2000014037fc 14AO20000037fc
 璈 AO200001507488 15AO2000007488
 𪉑 AO20000152a251 15AO200002a251
 摮 AO20000150646e 15AO200000646e
 𢧴 AO2000015229f4 15AO20000229f4
 𣊁 AO200001523281 15AO2000023281
 遨 AO200001509068 15AO2000009068
 翱 AO200001607ff1 16AO2000007ff1
 磝 AO2000016078dd 16AO20000078dd
 𥂢 AO2000016250a2 16AO20000250a2
 螯 AO2000017087af 17AO20000087af
 䐿 AO20000170443f 17AO200000443f
 𦪈 AO200001726a88 17AO2000026a88
 磽 AO2000017078fd 17AO20000078fd
 蔜 AO20000170851c 17AO200000851c
 聱 AO200001708071 17AO2000008071
 鳌 AO200001809ccc 18AO2000009ccc
 謸 AO200001808b38 18AO2000008b38
 翺 AO200001807ffa 18AO2000007ffa
 謷 AO200001808b37 18AO2000008b37
 鏊 AO2000019093ca 19AO20000093ca
 䦋 AO20000190498b 19AO200000498b
 鏖 AO2000019093d6 19AO20000093d6
 䚫 AO2000020046ab 20AO20000046ab
 𩘮 AO20000202962e 20AO200002962e
 𩱏 AO200002129c4f 21AO2000029c4f
 驁 AO200002109a41 21AO2000009a41
 䥝 AO20000210495d 21AO200000495d
 𩮯 AO200002129baf 21AO2000029baf
 鰲 AO200002209c32 22AO2000009c32
 鷔 AO200002209dd4 22AO2000009dd4
 䵅 AO200002204d45 22AO2000004d45
 鼇 AO200002309f07 23AO2000009f07
